Source,Target,Weight
asloosh,catboyzz,173
asloosh,catboyzz,173
asloosh,eliotak,267
asloosh,pewbutt,442
catboyzz,eliotak,53
catboyzz,pewbutt,96
eliotak,pewbutt,109
